Projectile,tau_LEIR_inj,tau_LEIR_extr,tau_PS_inj,tau_PS_extr
He1,157.16474498453044,242.77102332718027,3.9263835396175155,5.42252684619434
He2,778707.142765444,35137796696296.152,657048842779.5532,5.774363613999621e+19
O4,125.76815500935672,201.66357653409685,3.263324744536641,4.569457224585501
O5,122.86337491378129,167.0385912090879,2.8061775224372276,3.7579525524544217
O8,8773.617732595154,322030788620.1901,6021719541.242219,5.277348459203062e+17
Mg6,161.08087029133333,250.82006382960816,4.061255689907147,5.5236035234854555
Mg7,230.40603737497065,325.11470373121534,5.4563994989817655,7.72772588525857
Ar11,368.68377486205003,550.7491393085913,9.096994835777835,11.91978076839204
Ca17,611.6880203279042,1504.9271209064652,25.44331513665046,26.043119532135442
Kr22,272.980840686926,761.4234836388661,12.399595557916163,16.57621082883315
In37,152.87650208304848,2522.7231991547374,42.52605223501052,54.256041548504285
Xe39,136.5204111425134,2164.5466790198775,36.46079104176852,47.834147887790365
Pb54,68.22118251514514,2404.4481418672444,39.41249699524519,47.168626757488035
